row,tid,title,artist
6786,TRCPWMF128F93519F1,F*@k You Lucy,Atmosphere
36691,TRWSQAD12903CA6C69,Read 'em And Weep,Barry Manilow
17836,TRMLYMW128F9304D8F,Broken Wing,Grammatics
10135,TRIBHET128F4248021,Changes,The Zombies
40892,TRTFJZC128F930BEED,The Soft Attack,The Daysleepers
39526,TRGFVFV12903D0165F,Your Call,Ulver
6479,TRCFQKQ128F42BC245,I Belong To Me,Jessica Simpson
23680,TRBIJES12903CF5B12,Harboring An Apparition,Mouth Of The Architect
21264,TRYPPVA128F149F14F,True Reflections,Jah Cure
16582,TROUIBB12903D036F1,Black Car,Black Tambourine
950,TRHGJRP128F426C46E,Hex,Neko Case
33823,TRLECBU128F4299A82,Hassliebe,Curse
40237,TRTCBYE128F9342F78,New American Saint,Tokyo Rose
19056,TRRYBFD128F4272550,Emotional Rollercoaster,Vivian Green
19666,TRRWRZB128F9341830,El Jinete,José Alfredo Jiménez
21837,TRACYPF128F9338DE0,Full of Voices,Maximilian Hecker
5895,TRCMWWF128E0782275,Can We Still Be Friends,Todd Rundgren
21711,TRYUAHG128F427E9FB,The Road I'm On,3 Doors Down
10683,TRIPVGP128F92C1F9C,Keep Your Hands Off My Girl,Good Charlotte
25051,TRBKERR128F92FE266,Cut Some Rug,The Bluetones
35331,TRPEMDX128F9305E72,That Ain't No Way To Go,Brooks & Dunn
6168,TRCAWCL128F92F0EDC,The Crying Game,Dave Berry
34332,TRLQVSN128E078F99D,You Keep Me Hangin' On,Diana Ross and The Supremes
36846,TRWEWEY128F4265734,What I Meant to Say,Wade Hayes
7564,TRJJGKW12903CC81B4,Little Superstitions,The Rakes
31665,TREISKF12903CE430F,Perfecting Loneliness,Jets to Brazil
39637,TRGEUMD12903CDBEEB,Petals,The Honorary Title
44873,TRUSBQC128F423D823,Milagro,Lucybell
3630,TRLUBHL128F9308A2A,I Know It's Gonna Happen Someday,Morrissey
34258,TRLKKFV128F4289229,Invisible,Clay Aiken
31286,TRDKRBH128F148AF14,Late Last Night,Slim Harpo
26971,TRSJLNG12903CF4804,Tell Me I Was Dreaming,Travis Tritt
21886,TRAJCUW128EF34079E,Low Down Dirty Blues,Joe Louis Walker
4163,TRZGXCG128F9312BFD,12 Bellevue,Kathleen Edwards
14707,TRXTSMY128F933D70B,Cry Me A River,Aaron Neville
16966,TRMHBPS12903CA9CC5,I Don't Believe In Miracles,Sinitta
5930,TRCRIKZ128F4269ED4,Back For Good,The Concretes
9094,TRJTQRX128F931FF92,Sugarwings,A.R. Kane
6247,TRCBENW128F93119F6,Piece Of My Heart,Janis Joplin
2424,TRBLBQV128F9312BFB,The Lone Wolf,Kathleen Edwards
5306,TRVTFBK128F427C0FA,Forty Days And Forty Nights,Muddy Waters
135,TRCSBCN128F42B3DAD,Salt, Peppa and Spinderella,Johnny Foreigner
43416,TRQASXH128F4285461,Everybody Plays The Fool,The Main Ingredient
42744,TRKKMNV128F92E08D3,Johnny Remember Me,The Meteors
42843,TRKQVFH12903CFDAC3,Born To Lose,Ray Charles
14770,TRXKAYV128F9333C46,Many Of Horror,Biffy Clyro
5292,TRVZOZO128F92F73FB,In State,Kathleen Edwards
3241,TRDQRNB12903CA4453,Tragedy,Steps
36853,TRWETHD128F1468783,Shatter,Meredith Brooks
24030,TRBRSXQ128F92EB712,Overture,Edguy
11476,TRHIZHZ128F4295EFA,Don't Want You Back,Backstreet Boys
9675,TRIHVXH12903CAB74A,Make The World Go Away,Timi Yuro
39141,TRGRRWY128F92C6FFB,It's All in the Game,The Four Tops
8743,TRJPCTR128F422C1D9,All Or Nothing,Jay Sean
13387,TRXIAQJ128F92DF22B,Luna,Verdena
38042,TRZSIHW128F92E8343,Two Seconds,Laura Cantrell
5167,TRVHBVV128F421BB57,Does My Ring Burn Your Finger,Buddy Miller
46243,TRVFLNP128F4262746,Heartache,A Girl Called Eddy
6835,TRCWRGE12903CE601B,Días De Verano,Amaral
38508,TRZGDWV128E0782536,Medicine,The Sundays
10923,TRITALN128F4263262,Love Is A Loser's Game (Live),Tim Christensen
46387,TRVLWNI128F92E4823,Lose You,Peaches
33353,TRLMXNB128F92FAC5D,He Oughta Know That By Now,Lee Ann Womack
30792,TRDFLNY128F932102F,Guess Things Happen That Way,Johnny Cash
37082,TRWGIZW128F9314D60,Un Viejo Amor,Ana Gabriel
33573,TRLBRAP128F4262742,The Long Goodbye,A Girl Called Eddy
42678,TRKTJMV12903CAC338,Of Men And Angels,The Rocket Summer
16113,TROLQFA128F92F7AAA,Bad Time,The Jayhawks
9679,TRIXCMK128F4289D61,Battlescars,Ozma
26638,TRNTWJG128C719647E,Losing You,Busted
41034,TRTENNW128F93544B4,Home,Lou Barlow
44118,TRQQECL128F14895BB,The Horror Has Gone,Antony and the Johnsons
22968,TRAPDDZ128C719689A,Asthenia,blink-182
2725,TRSOZSP128F92F7509,Last Thing On My Mind,Steps
42965,TRQCRJW128F42BC44F,I Can't Win For Losin' You,Earl Thomas Conley
4484,TRTSNGE128F428563F,Losin You (Live),Amy Millan
9624,TRIHAGB128F429DA09,Bring Me Wine,Wallis Bird
40886,TRTSKLJ128E078FB24,Renee,Lost Boyz
9439,TRICDXV128F92E2A76,Ticket To Ride,Carpenters
42972,TRQCDLK128F9339377,My First Wife Left Me,John Lee Hooker
9407,TRICJEB128F4267536,Här Kommer Alla Känslorna (På En Och Samma Gång),Per Gessle
23139,TRAZVYP128F1459AD9,Star Signs,Leona Naess
33666,TRLSCFB12903CE3013,Almost Home,Craig Morgan
16746,TRMCNDC128F9305582,Suicide Note Lullaby,Psyclon Nine
37024,TRWWPPT128F1479610,Coffin For Head of State,Fela Kuti
7197,TRCKKCK128F42AD95D,The Comedians,Roy Orbison
3334,TREABHG12903CEA357,So Demure,Tiger Lou
993,TRHVNLR128F145FE99,It Just Came To Pieces In My Hands,The Style Council
36797,TRWDVUV128F932DAB1,Teenage Love,Slick Rick
23508,TRAVWPM128F92F3DCC,Goodbye,Hil St. Soul
8872,TRJWGLD128F92FA1F0,It's Only Make Believe,Conway Twitty
38683,TRZQUBZ128F427B9C5,Red Water (Christmas Mourning),Type O Negative
10672,TRIPTEP12903CD1D41,Ball And Chain,Big Brother & The Holding Company
10984,TRIKXYV12903CF14D1,Dark Was The Night - Cold Was The Ground,Blind Willie Johnson
41220,TRTZJQU128F427EA67,Wherever, Whenever, Whatever,Talisman
20386,TRYHFCR128F148C867,Marshall Mathers,Eminem
9424,TRICMQX12903CFBD28,I Don't Feel Like Loving You Today,Gretchen Wilson
23105,TRAZDTT128F9346306,Out In The Streets,The Shangri-Las
19655,TRRPVJB12903CC656D,I Don't Care at All,Language of Flowers
22281,TRARODV128F1460DBC,A Goodnight's Sleep,The Starting Line
