row,tid,title,artist
27927,TRSWZYM128F422F9DE,I Know A Place,Petula Clark
2890,TRSVKUB128F14858D2,Chanson De Rien Du Tout,Mickey 3D
20697,TRYYVVU12903CB6448,Final Say,Sambassadeur
32306,TREFSSV128F426734C,Geht Auseinander,Wir sind Helden
28734,TRFMJIG128E0781679,Warm Night,The Concretes
21425,TRYGXVS12903C9E15C,Stairway To The Stars,Ella Fitzgerald
40228,TRTCMBE128F9335CAE,Ice Dogs,Man Man
23401,TRAUHSS128F14587C3,Life Begins At The Hop,XTC
26512,TRNZUJT128F427076E,Back Door Man,Willie Dixon
22825,TRAEFRR128F421A07D,To Be in Love,Masters At Work
30120,TRDIDUU128F92E4328,Occupation,Don Drummond
10456,TRIDWEF128F930C4CE,Cold World,The Electric Soft Parade
30921,TRDLXUW128F4239E70,Luna Luau,Lost Acapulco
43529,TRQNGEM128F92F3B53,Oh Bauer,Jeans Team
36230,TRWOYZJ128F42A83CB,You,Spanky Wilson
46516,TRVZXTB128F4298105,The Wine Song,The Cat Empire
43309,TRQRSDI128F42788C4,14 Days,Life Without Buildings
40494,TRTOFGY12903CDA529,Just Older,Bon Jovi
38909,TRGIKSA128F92F396C,Turas san Lochmor,Julie Fowlis
22974,TRAPWCY12903CCF30D,The Coffee Song,Frank Sinatra
6749,TRCPREX128F92EC68B,Sunset,Swervedriver
21825,TRACISV12903D13877,When You're Hot, You're Hot,Jerry Reed
406,TRJDXUT12903CB8373,Scott Joplin's New Rag,Scott Joplin
39317,TRGBROK128F93351EC,Each Time You Break My Heart,Nick Kamen
350,TRJRONR128F149B2AD,DJ,Diam's
8820,TRJWCPE128F92F24B6,My Heart Belongs to Daddy,Marilyn Monroe
39059,TRGOFWM128F92F3BC0,I'm Not Down,The Clash
44320,TRUJRQY128F423A63C,California Girls,The Magnetic Fields
18675,TRRIBYA128F934D0DD,Swim,Surfer Blood
13175,TRHVBZP128F933ADCF,Window In The Skies,U2
7201,TRCKUTO128F42520EB,Acrylic,The Courteeners
1738,TRRAEXJ128F4273B35,Think Of You,Whigfield
37932,TRZAUPJ128F4263C26,Christmas At Ground Zero,"Weird Al" Yankovic
43816,TRQPOFY128F42967ED,Les Amoureux Des Bancs Publics,Georges Brassens
41786,TRKXCFA128F42883BD,Broke In Two,They Might Be Giants
9700,TRIXYAW128F4267BF5,Lena,Pur
36762,TRWDNIJ128E07967F2,Un'estate al mare,Giuni Russo
20356,TRYHXNW128F428E79D,Wunderbar,Tenpole Tudor
574,TRIMHSH128F4247CE7,Freedom Come, Freedom Go,The Fortunes
42137,TRKAGOB128E0783D7A,Le veuf,Alexis HK
22524,TRABUSZ128F4257BAB,Here Comes The Hotstepper,Ini Kamoze
26860,TRNVPUQ128F9326A31,I Do Adore Her,Harry Belafonte
7645,TRJITDB128F932BB1E,Finally,Kings of Tomorrow
31937,TRERNRI128F4267518,Girls Talk,Dave Edmunds
10433,TRIDAPF128F92CA4DE,Always Have, Always Will,Ace of Base
19357,TRRFMEF12903CA424F,We Sleep In The Ocean,The Cloud Room
15970,TRODUJZ128F4262A44,Let Your Spirit Soar,The Morning Of
14820,TRXQIPQ128F148C1CB,Désenchantée,Mylène Farmer
22203,TRAOVJL128F422B4AB,Jam Band Death Cult,Ninja High School
18771,TRRHWKH128F424A312,Can't We Be Friends,Ella Fitzgerald & Louis Armstrong
8921,TRJZBCX128F4257A23,A História De Jorge,Jorge Ben
32671,TREZUAP128E07816EF,The Start,The Bees
9780,TRIOFPU128F42B4C7A,Ich bin ich (Wir sind wir),Rosenstolz
20918,TRYSNVZ128F149B874,Blue Honey,Pop Levi
33301,TRLORHS128F4248319,Bixo,Manu Chao
43566,TRQSDYA128F92E085E,Clique At Night Vandals,Tullycraft
10004,TRIYNBX128F92DC1AB,La,Old Man River
44369,TRUIBCH12903CDA218,Exploding Head,A Place To Bury Strangers
29290,TRFEYNC12903CB1BD8,Sleep Comes Down,The Psychedelic Furs
7291,TRCUCTX128F422B098,Together In Electric Dreams,Philip Oakey & Giorgio Moroder
46354,TRVETVN128F147AD96,Jeepers Creepers,The Puppini Sisters
32300,TREFBEV128F428A330,(You're The) Devil In Disguise,Elvis Presley
46755,TRVUOYW128E07846B0,Ron,Joy Zipper
13593,TRXOXGD128F427269B,Save the Day,Train
1929,TRYRAUK128F93126B2,Sound Memory,September
46305,TRVDWLK128F930F540,Get On, Me,The Brother Kite
12612,TRHPKRN128F424EF48,In The Summertime,Shaggy
25042,TRBKNBF128F92F372A,Workin' Day And Night,Michael Jackson
9764,TRIOXQC128F9311A0D,Evil Ways,Santana
36592,TRWNYTG128F4264A1F,Blue moon,Ray Conniff
29690,TRFTVKZ12903CF2C5A,Handful of Keys,Fats Waller
45404,TRUKVPU128F147B59B,Love Vibration,Josh Rouse
25579,TRNXTEF128F931FDE4,Listen To A Country Song,Lynn Anderson
8873,TRJWGRW128F9353C34,This Way,Psapp
35622,TRPGMQI128F92FA5FC,Finnegan's Wake,The Dubliners
9226,TRJQPLW128F92CD81D,March Of The Bob Cats,Bob Crosby
36620,TRWNGOI128F4291FEC,Round Dance Song,Joseph Fire Crow
