row,tid,title,artist
21319,TRYWWQC128F933761F,Learning How To Bend,Gary Allan
726,TRIKBLH12903CFB8AE,Angel Fire,Dolores O'Riordan
44776,TRUBNVT128F42744BB,Melt Away,Mariah Carey
22819,TRAEATL128F42690A7,Lord of the Thighs,Aerosmith
31536,TRECBIU128F4257D62,Enchanted Thoughtfist,Jello Biafra with the Melvins
41420,TRTKWMP128F428149A,La Calandria,Pedro Infante
29942,TRFVVFA128F14AE800,Pictures Of Shorelines,Further Seems Forever
44817,TRUNNHV128F9347737,Hacer El Amor con Otro,Alejandra Guzmán
31139,TRDZZRB128EF340D4D,Karaoke Plays,Maxïmo Park
23629,TRBJNAA12903CB422E,Flight of the Navigator,Set Your Goals
1850,TRRTUON128F932A9F9,Reprise,Mew
28178,TRSKKXF128F429F85A,Blow My Buzz,D12
43942,TRQZDAX12903CEC347,The Closest I Am To Living Life On The Edge,Valencia
38310,TRZPJRS128F92F3916,Change For Me,Eric Roberson
38228,TRZEDUL128F429E5D2,One Brick,Aesop Rock
21203,TRYLZCG128F145E4AF,I'm Not The Loving Kind,John Cale
38256,TRZEVAC128F421C97E,God?,The Dodos
34395,TRLVCZR128F426739D,You're Only Human (Second Wind),Billy Joel
19647,TRRPTXR12903C92285,I'd Do It All Again,Corinne Bailey Rae
22340,TRAYXYJ128F1492AC2,No One Will Do,Mary J. Blige
11594,TRHXNCS128C719654F,What Is It About Men,Amy Winehouse
38987,TRGXOPZ128E0798CB5,God Must Hate Me (MTV Hard Rock Live Version),Simple Plan
14940,TRXUKYM128F42487DC,My Hands Are Shaking,Sondre Lerche
43498,TRQNXAQ128F145AFA3,Dance Little Jean,The Nitty Gritty Dirt Band
33262,TRLXDPM128F92F581B,You Might Die Trying,Dave Matthews Band
22217,TRAMOUY128F92C48B9,Fire,Augustana
6085,TRCYGOE128F92F3795,Pen Just Cries Away,Eric Roberson
32610,TREWZUJ128F4298DD5,Take This To Heart,Mayday Parade
12083,TRHNJAJ128E0787BD6,Mr. Disco,New Order
30670,TRDNGGB128F42AE4C5,Chimes Of Freedom,Bob Dylan
10104,TRIAGVX128F42AF426,Getaway,Monica
24865,TRBZLDE128F9314889,Llegar A Ti,Jaci Velasquez
43050,TRQIIPP128F1482FFE,Be With Me,J. Holiday
32843,TREQBXD128F425B74D,Impossible,Christina Aguilera
15869,TROFFRA128F1485132,Let Him Run Wild,The Beach Boys
19820,TRRGUBG128F1486F13,Girl Don't Tell Me,The Beach Boys
22671,TRAFIYC128F4234BC3,More Than This,Matt Nathanson
6658,TRCLJLM128F146B939,The Big Hurt,Scott Walker
8026,TRJRTBU128F92D31EE,Reservations,Wilco
44270,TRUCXAV128F425B4E2,I Will Hide Myself Away,Cartel
486,TRJKVFN128F14917D3,In The End,Rush
12953,TRHKFEB128E0788D36,Tru Love,Faith Evans
71,TRCMGES128E078F4B9,One More Day,New Edition
12308,TRHFKWV128F42BCAAA,Love You I Do,Jennifer Hudson
6378,TRCSENM12903CE4396,The Fleecing,Pedro the Lion
10267,TRISJAU128F423BB96,Os Senhores Da Guerra,Madredeus
9450,TRICLGL128F428267B,Everything Evil,Coheed and Cambria
8109,TRJYUWI128F4278BEF,Arrow of Pain,鬼束ちひろ
11128,TRIUXYI128F425902B,Erotic Saints,Zeromancer
40409,TRTHWRH128F147FC85,Colours,Phil Collins
34269,TRLQHGA12903CDE61A,Fly Too High,Janis Ian
