row,tid,title,artist
17772,TRMEMVX12903CA13EC,There Is A Light,A Silver Mt. Zion
27883,TRSWCUU128F92E1019,Starrsha,Ringo Deathstarr
16587,TROUHHH128F93093CD,Demoliendo Hoteles,Charly García
42711,TRKTZNP128E07900B3,Music,Cat Stevens
23624,TRBJBMC12903CBB3ED,Dreamer,Atmosphere
26648,TRNTKRX12903CE1983,Flawless,The Ones
31619,TREJGBP128F9339054,Yearnin',The Black Keys
40106,TRGUOGZ128F427C312,Ugly Day,Five Iron Frenzy
42347,TRKDAHJ128F930172E,Medicine,Sons and Daughters
27971,TRSZEEM128F14AD296,Resurrection,Brian May
38672,TRZQZQU128F42633D6,In the Grass All Wine Colored,Evan Dando
31725,TREHLXC128E07951C7,Lo que el Viento Nunca se Llevó,Fito Páez
37126,TRWTCFP128F145B02E,You Can Leave Your Hat On (Live),Joe Cocker
24011,TRBRXXJ128F4227DC8,At First Sight,The Stems
36915,TRWLGZL128F9345039,No hay dolor,No te va Gustar
13094,TRHUYWT128F932EDC4,Jailbird,M. Ward
33361,TRLMMSP128F931179B,Through The Storm,Yolanda Adams
21017,TRYFKQJ128F931F783,Underdog,Audio Adrenaline
3415,TRETBYD128E07925EB,Fear of Flying,Mýa
594,TRIYCMQ128F424845D,I'm A Message,Idlewild
20352,TRYHHYB128F4294EA0,The Best Thing,Relient K
16348,TROGNMU128F145ACB8,When The Night Comes,Joe Cocker
25940,TRNNCOL128F1488D34,Yendo A La Casa De Damián,El Cuarteto de Nos
7964,TRJRJAP12903CD0B9D,Tell it to My Heart,Taylor Dayne
43821,TRQPYPV128F92D4264,Ras Trent,The Lonely Island
19941,TRRKKOX128F428D59A,The Electricity In Your House Wants To Sing,I Am Robot and Proud
18888,TRROGOY128F92FE85C,Busy,Butterfly Boucher
18897,TRROUYD128F4284F8B,Somebody To Love,Jefferson Airplane
43824,TRQPNSO128F42AA2BF,El-Shaddai,Amy Grant
44869,TRUSANS12903CB2600,Wave Backwards To Massachusetts,Hallelujah The Hills
34649,TRPHBGC128F42721A4,Magnum Opus,Kansas
26667,TRNKMJD128F930DF0E,The Three Sunrises,U2
46402,TRVPJWN128F930B276,No Me Dejan Salir,Charly García
23516,TRAVQRX128F92E556A,Executioner Blues,Do Make Say Think
26157,TRNDRJY128F428473F,Big Sky,Rachel Loy
10482,TRIEHOT128F42590A7,Ella,Bebe
18146,TRMGEUL128F9303BD2,Los Piratas,Los Auténticos Decadentes
39566,TRGDPGG128F42516A0,Laughter (victims),A Sunny Day in Glasgow
24424,TRBFCLF128F429F86C,Ma Philosophie,Amel Bent
31545,TRECEJZ12903CB9E96,Hodaj,Gibonni
5947,TRCRMVJ12903D022DB,The Unbreakable,BT
38475,TRZZQCF128F42865BB,State Of Emergency,Skindred
22121,TRAXWQU128F42716E2,Peaceful World,John Mellencamp
41480,TRTQEXI128F936683B,Vox Populi,30 Seconds To Mars
12686,TRHWGPW128EF34549E,We're Not Alone,Dinosaur Jr.
46035,TRVAOYN128EF34E070,Livin',The Clark Sisters
22536,TRANJBK12903CBA3DE,Moon Like a Pearl,Pia Fraus
32628,TREZJPA128F92EB8F7,Round & Round,New Order
1645,TRMVHPA128F932E67C,How Fast Can You Love,Pia Fraus
26029,TRNSAGW128F92C70A3,All Will Be Well,Gabe Dixon Band
25130,TRBQVGS128F42671B1,Death Is Not The End,Bob Dylan
9215,TRJQSZR128F42A780B,Feel Alive,ATB
