row,tid,title,artist
45122,TRUPDNU128F147CBE9,The Thing That Should Not Be,Metallica
42341,TRKDMDO128F422AC8A,Tried,Assemblage 23
777,TRHJXVA128F92D2DA3,Gods Take Dust,Suspiria
7057,TRCTXIG128F424CCD5,Crimson Tail,Penumbra
13629,TRXOZRH128F4275375,Plug 'N' Die,Dope Stars Inc.
28023,TRSGBWD128F421409E,Poison Pit,Themselves
793,TRHIUIV12903CC5A38,Dead Stars (Club Version),Covenant
44921,TRUFNKV128EF35F577,Popstar Kill,Bis
6965,TRCZVBJ128F92F913B,Bloodheat,Archie Bronson Outfit
32525,TREPRJQ128F14768EB,Red Flags And Long Nights,She Wants Revenge
14177,TRXDCHP128F422CADB,Broken dubstep,Benga
20354,TRYHHEW128F934996E,Astronomic,The Young Gods
31334,TRDKUVB128F931757D,Knowledge God,Raekwon
23542,TRBCRKT128F9303898,I Hate the Way You Love,The Kills
28388,TRFCAUD128F92CC982,Meduzz,Infected Mushroom
45742,TRVHEDH128F4243651,Cavalettas,The Mars Volta
45081,TRULPRX128F424AFDC,Fractured,Distance
30570,TRDBJWJ128F92FC761,You Are Never Alone,Vic Chesnutt
5058,TRUFCSN128F92C9470,Rotgut,Tomahawk
32534,TREPNUK128F930BB2E,Black Sunglasses,Mount Sims
3489,TRLRDMT128F42B39AE,Fresh,Non-Prophets
2062,TRYQZZS128E0780E11,Innuendo,Queen
26902,TRSCSGY128F9336F02,Party,Clint Mansell
13567,TRXXKYE128F9331BD6,Procession,Nico
34058,TRLZCFS128F42B282B,Hired Goons,Evil Nine
2333,TRBXOXN128F93305A8,Little Black Backpack,Stroke 9
2250,TRAWZHV128F14ADC8B,1992,Spoken
13409,TRXIZMQ12903CAAD30,Call It Stormy Monday,T-Bone Walker
9462,TRICKIT128F92E7E03,The Agfers of Kodack,Wire
6526,TRCDDUF128F4298546,Skulls,Misfits
6955,TRCZTID128F147C1CE,Those Who Stayed,Murder By Death
45097,TRULUKP128F145AE6B,Better Than Them,New Model Army
39717,TRGPSSM128F4258B4B,Yellow Cake,Ministry
22182,TRAOZRJ128F92D226D,In Trance,Scorpions
14732,TRXTGIW128F42B0DCC,Dirt,Alice in Chains
42227,TRKNQQG12903CB1390,The 4th Knife,Diva Destruction
42452,TRKLANE12903CDE48C,Saxon,Chase & Status
6125,TRCAMQU128F1459008,Pioneers Over C,Van der Graaf Generator
37197,TRWKHMP128F932226D,Giant Swan,The Blood Brothers
24717,TRBPROR128F92E4695,A.D.I.D.A.S.,Korn
39420,TRGSRHQ128F14598B4,Inheritance,New Model Army
38217,TRZEBWD128E078738A,Highway in the Wind,Arlo Guthrie
14187,TRXDIEG128F9341288,Lucifer,Behemoth
43617,TRQFBSS128F4225FFB,Arabic Tremolo Radio,The Violet Burning
30505,TRDAXGT128F426B2E0,Cocotte,Teenage Bad Girl
6842,TRCWADK128F424CC96,Bloodlust and Perversion,Carpathian Forest
34220,TRLKCVN128EF33FB6D,Sackville,Inspiral Carpets
34242,TRLKSGZ12903CF5944,Ross 128,Rosetta
6966,TRCZVQH128F428BC7D,Good Boys,Blondie
3658,TRPJRVW128F14A1A0D,My Hands Are Tied,Mesh
30149,TRDHXDM128F426D34E,Prayer,Burial
15305,TROXLJC128F9312AC6,Afterthought,The Silk Demise
43345,TRQRUTM128F1482512,Midlife Crisis,Faith No More
9992,TRIYRFI128F42AF800,Sweet Dreams (Are Made Of This),Eurythmics
7700,TRJHLZT128E0792470,My Michelle,Guns N' Roses
38546,TRZTMUO12903CC8FE0,V,Distance
46524,TRVZMRH12903CC2AC2,What You Need (Hard Dub),Nic Chagall
24695,TRBLUCV128F93122DA,Your Good Thing (Is About To End),Mable John
40496,TRTODPY128F427854C,Easy,Fuel
42013,TRKRWFE128F9312A44,Paradise Place,Siouxsie And The Banshees
19280,TRRNUCU128F4233164,The Conspiracy Unfolds,Dimmu Borgir
27987,TRSZKQH128F93290EC,The Plot,WhoMadeWho
37674,TRZOXCR128F92D46A3,The Briar And The Rose,Tom Waits
43671,TRQDEJL128F149E8E5,My Little Underground,The Jesus and Mary Chain
2729,TRSOUPI128F424E0DF,Deep Red Bells,Neko Case
12860,TRHTOIG128F92EB914,Ecstasy,New Order
16259,TROZXFT12903CE4168,Scream,Black Flag
26886,TRSCMXV128F92F4360,Mustang Sally,The Commitments
17116,TRMOWGQ128F1485B0A,Vermicide,The Mars Volta
43080,TRQIZRF128F4277002,The Beer,Kimya Dawson
14868,TRXQGDM128F92F6F95,Jack The Ripper,The Horrors
30067,TRDJUFL128F4262F59,None Of Ur Friends Business,Ginuwine
10088,TRIADEB128F424CE66,Phoenix Rising,Deströyer 666
4871,TRQEGMN12903D10481,Sirens,The String Cheese Incident
40053,TRGQAJN128E078AA91,Silver Lining,David Gray
42442,TRKLCKW128F424CCDF,Conception,Penumbra
2619,TRNWPAO128F429AF28,4/3/1943,Lucio Dalla
36609,TRWNELK128F92F4A3D,Money In The Bank,Swizz Beatz
30075,TRDJVXO128E07829D9,Told You So,Depeche Mode
36441,TRWYLRD128EF347235,Geppetto,Novembre
10380,TRIFPXH128F92F6285,Awaking the Centuries,Haggard
36466,TRWACEH128F42A8AA0,Ubriaco Canta Amore,Bandabardò
4329,TRGENJR12903D0C36A,Innocence,Nero
13001,TRHQJFF128F1485069,Untitled,Low
11742,TRHMXBF128F149C0CE,Inside Me,The Jesus and Mary Chain
1382,TROWCVK128F423E621,Clouds,Devil Sold His Soul
32749,TRETFJN128F426EED9,Strange Fire,Indigo Girls
35658,TRPTCNR128F1459965,Don't Come Around Here No More,Tom Petty And The Heartbreakers
1023,TRXINTF128F427E879,Baby Please Don't Go,Muddy Waters
7936,TRJMLWL128F428AE5B,The Imperial March (Darth Vader's Theme),John Williams
8343,TRJSJDN128F92FA44A,The Devil May Care (Mom & Dad Don't),The Brian Jonestown Massacre
35804,TRPQEIC128EF33EF36,Waterfront,Clan of Xymox
15248,TROHWZM128F148251B,Jizzlobber,Faith No More
22440,TRAAPFQ128F42684DB,Master of Disharmony,Dimmu Borgir
15952,TRODLMH128F424883F,Space Transmission,Porcupine Tree
16568,TROQKHA128F92E7468,When In Rome,Nickel Creek
43544,TRQSHFX128F421E0E1,Isolated,Chiasm
6729,TRCPCRW128F42618AB,An Investment in Hate,Eerie Von
35480,TRPPTBL128F92DB7B8,The Hierophants of Light,Deutsch Nepal
21774,TRYVRUE128F4296A51,Mio Fratello E' Figlio Unico,Rino Gaetano
