row,tid,title,artist
26368,TRNPWFR128F4289160,Heroin,Lou Reed
26170,TRNDDXU128E0793765,Sister Moonshine,Supertramp
39313,TRGBOPC128F421FBF1,Cherry Red,Five Horse Johnson
9768,TRIOOXM128F4295254,Let Me Love You Baby,Buddy Guy
44128,TRQQZQT128E0781AA9,Late Night,Syd Barrett
18867,TRROYBR12903CF2301,There's No Place Like a Stranger's Floor,The Lawrence Arms
40076,TRGQZDY128F1468DEB,Love It Is A Killing Thing,Sheila Chandra
40680,TRTAIFP128F92F9F5F,One Room Country Shack,Buddy Guy
10099,TRIAZSI128F4284391,Streets Of Fire,Bruce Springsteen
2183,TRANYUX128F14652EA,Who Do You Love?,George Thorogood & The Destroyers
42479,TRKLTAI128F428C249,Good Evening Mr. Waldheim,Lou Reed
12112,TRHNALT128E078EA29,My Time After Awhile,Buddy Guy
16010,TROEFEC128E078AF33,Keep Your Hands to Yourself,The Georgia Satellites
44919,TRUFBLR128F428D77E,Dirty Blvd.,Lou Reed
1839,TRRGPPD128F4267468,Kingdom of Desire,Toto
39190,TRGRVZH128F148D7A2,A Soapbox Opera,Supertramp
1619,TRMTGMY128F147452A,I Wanna Learn A Love Song,Harry Chapin
34214,TRLTQTO128E07996F9,Fool's Overture,Supertramp
45844,TRVOLKP128F14570EB,Soul Of The Sea,Heart
45232,TRUZLWG12903CCDAE4,Nobody Likes Me,Alice Cooper
18801,TRRXXPJ128F42BAA3D,About Me,Utada
17497,TRMNMIW128F42859F3,Egg Cream,Lou Reed
20011,TRRQUMP128E07996F7,Babaji,Supertramp
18879,TRROLNS128F145ACB4,Stranded,Heart
10809,TRIZWTF128F428A3C6,Rock And Roll,Lou Reed
