row,tid,title,artist
36704,TRWFXCL128F428AD01,The Buzz Kill,Sage Francis
18026,TRMZCPQ12903CE3D7D,Back Home,Pepper
23424,TRAUEAA128F9342707,Growing Down,No Use For A Name
32039,TREAIES128F4266517,Crash Burn,Blues Traveler
26620,TRNTFKC12903CDA0B8,Never Gonna Stop The Show,General Midi
41178,TRTWRDB128EF356B6B,Numb,Ill Niño
40666,TRTYKPI128F428A4EE,Every Single Day,Pennywise
24259,TRBBLXU128F42623A1,Eyes Open Wide,Pulley
15902,TROFQTG128E0791F3F,Light Burns Clear,Sparta
16666,TROVXWL128F4267A3C,Fire,Mother's Finest
26085,TRNFMBG128F4291032,Advanced Corpse Tumor,Necrophagist
36941,TRWPAMD128E0785D6D,Cygnus....Vismund Cygnus,The Mars Volta
2130,TRAOTQR128F428B42B,Master Celebrator,No Fun At All
42180,TRKBUEB128F14AD35C,Main Titles,John Ottman
41787,TRKXJYT128F1488D38,Invierno Del 92,El Cuarteto de Nos
21777,TRYVYKK12903CA71F3,Nuclear Generators,The Suicide Machines
40421,TRTXIEQ128F9344E3C,Dancing The Collapse,Lagwagon
37607,TRZHGSM128F93444EB,Pre-Medicated Murder,No Use For A Name
36455,TRWYTTN128F4262FF8,East Coast Anthem,Good Charlotte
17764,TRMEOLK128E0782710,Slide Away,The Verve
29311,TRFEPRE128F426901F,Fear,Zounds
9153,TRJKGBU128F92FA07D,Unforgivable,Armin van Buuren
30960,TRDLQLS128F42A526A,The Shadow,The Prodigy
22649,TRASWIV128E0788A84,Real Love,The Smashing Pumpkins
35780,TRPQOGS128F93049FA,When Will I See You,Danko Jones
14588,TRXZVBP128F932DA6F,Ghost Chase,Atari Teenage Riot
26341,TRNPOZU128F93444F6,This Is A Rebel Song,No Use For A Name
19695,TRRWQAM128F14910A2,High Acetate,Rival Schools
19222,TRRNHZQ128F148C163,King Of Mars,Monster Magnet
35127,TRPNEMM128E0792477,Pretty Tied Up,Guns N' Roses
14427,TRXPGFB128E0791379,She Watch Channel Zero?!,Public Enemy
22802,TRAEIYI12903CE3649,Diddy Bop,Tyga
24369,TRBSOVG128F9353CFC,The Words,Psapp
7231,TRCQOZI128F422F713,Forward March,Exodus
14555,TRXZNDB128F9331F3D,Different Strokes,State of Mind
29991,TRDCQGJ128F4214D8C,Nice Boys,Guns N' Roses
9683,TRIXIZP128F428B97A,Gotta Go,Agnostic Front
46056,TRVAPMU128F9325E1B,take hold,Mika Miko
13561,TRXXGBB128F934766C,Train,Lagwagon
16262,TROZOHH128F14910A0,Travel By Telephone,Rival Schools
34180,TRLTYHT12903CC5A20,Sticky Situation,Danko Jones
17283,TRMYIOE128F933D402,Jeremy Parker,Swirlies
26247,TRNEFWA128F92CA5F6,Charlotte,Booka Shade
33975,TRLPFWO128F92F3712,Avenues And Alleyways,Rancid
41723,TRKIWLU128F4271BD5,Manager's Special,Hermano
17384,TRMASOV128F4249D6B,Everybody Know Me (Explicit Album Version),Boyz N da Hood
32002,TREYFYX128C7196499,Psychosis Safari,The Eighties Matchbox B-Line Disaster
24781,TRBWYLU128F4292CCB,Anchor,Cave In
33411,TRLRMQV128F4262385,Release the Hostages,NOFX
11460,TRHILEB128F9310CD6,Copycat,The Cranberries
14958,TRXVMXK128F424F971,Memoria (Sutekh's Trisagion mix),Murcof
45709,TRVIKCH128E0791C0C,007,John Barry
39813,TRGZXNR128F9345288,Justified Black Eye,No Use For A Name
2392,TRBSMOS128F422A839,Tricky Disco,Discotronic
40825,TRTNGKK128F4274D7A,Own the World,Man With no Name
8710,TRJLEOX128F9329931,We Belong,Ferry Corsten
37498,TRZJZLB128F4295770,Nothin',Reel Big Fish
17554,TRMSNIQ128F14910A7,The Switch,Rival Schools
21143,TRYETFA128F4282DC8,Hoedown,Béla Fleck and the Flecktones
18641,TRRICBU128F148C895,Pocket Full Of Fatcaps,Downset
41054,TRTEZFB128F92CC981,Muse Breaks RMX,Infected Mushroom
21571,TRYKFYJ128F92CC989,Stretched,Infected Mushroom
12426,TRHEAYA128F422C103,Thorns Of A Black Rose,Kiuas
45947,TRVRBOG128F9344066,Alien 8,Lagwagon
18013,TRMWGKC128F4262582,Peaceful Day,Pennywise
11545,TRHHTQL128F145ABEA,Strobe Light,The B-52's
27046,TRSHIRP128F9347677,Messengers,Lagwagon
31811,TREORDC128F425A87A,Brilliant Sky,Saybia
20712,TRYAXAQ128F92F9F6B,In League With Satan,Venom
10991,TRIKRUU128E078F552,Voodoo Lady,Live
2274,TRATSMF128F92ED742,The Missing Suitcase,The Herbaliser
14080,TRXSPJD128F9337D14,Mumia's Song,Anti-Flag
19507,TRREPUT128F14A14FC,Flesh and the Power It Holds,Death
37150,TRWTAQJ128F4214DA0,Anything Goes,Guns N' Roses
6882,TRCWKZK128F42A631F,Telecommunication,A Flock Of Seagulls
24398,TRBSDFS128F92E3C6B,The Kiss,Judee Sill
796,TRHHXMS128F92C946C,Rape This Day,Tomahawk
40930,TRTFGMH128F429C49E,Twist,I Am Kloot
23965,TRBMBDW128EF345496,Pick Me Up,Dinosaur Jr.
11358,TRHJRTZ128F426A382,Behind The Wall Of Sleep,Black Sabbath
24777,TRBWMNO128E078D3E1,Take Me Away,The Subways
