row,tid,title,artist
3697,TRPXFYR128F148D327,Anthem,Rush
20382,TRYHSWU128F428B255,Which Side Are You On,Billy Bragg
23725,TRBIGJK128E0783FCB,Leave (Get Out),JoJo
29794,TRFQEQG128F92E636E,Dead Men Tell No Tales,Motörhead
42266,TRKSDZM128F9346B87,The Runaways,Anberlin
18875,TRRODAN128F4279B42,I'm So Bored With The U.S.A.,The Clash
20257,TRYJZYD128E0788E85,Only,Nine Inch Nails
26559,TRNGFOR12903CA6809,Fuel My Fire,L7
46319,TRVEICB128F14825EA,Bullet Theory,Funeral for a Friend
18078,TRMZWUG128F933E621,Reject All American,Bikini Kill
36124,TRWHHEV12903CDF140,The Druid,Sleep
9324,TRJVCHB128F4292F5E,In Death - Is Death,Meshuggah
41433,TRTKGCM128F4279CBE,You Stole The Sun From My Heart,Manic Street Preachers
16767,TRMCGZI128E078F109,Pure And Easy,The Who
27074,TRSHDZV128F4241AFF,Fully Alive,Flyleaf
34910,TRPRTGE128F9326FB1,Terrorist,Heavens to Betsy
20663,TRYYBLL128F930589C,Boom,P.O.D.
34496,TRPCQES128F4243365,American Made,Jack Off Jill
42612,TRKZZDH128F1497388,100 Miles and Runnin',N.W.A
18494,TRMVDTI128F429F76D,Hate You,Reel Big Fish
38966,TRGHTGJ128F4223194,Sympathy,Billy Talent
29388,TRFLVKB128F147CC69,Ain't My Bitch,Metallica
20429,TRYXAGC12903CAFFA6,Understanding the Fear That Lies Within,Evergreen Terrace
21505,TRYTFDD12903CFB580,Dein Herz, Meine Gier,Suicide Commando
19955,TRRQJCA128F9303261,Johnny Was,Stiff Little Fingers
41036,TRTENOJ128F426A5B4,Controller,Prong
46280,TRVDYIG128F9328AD3,So Let's Go Nowhere,The Arrogant Sons of Bitches
1020,TRXIXMS128F4287B96,Sheer Heart Attack,Queen
37427,TRZCOLE128F428EFED,I Wish I Was Someone Better,Blood Red Shoes
35444,TRPPCMC12903CE415E,Nervous Breakdown,Black Flag
19746,TRRZGPK12903CEA4E8,Gone, Gone, Gone,Bad Company
19682,TRRWDFO128F423B6D0,99,The Haunted
25071,TRBKTIM12903CA7193,Kill You,Korn
39974,TRGKCWZ128E078A814,Running From Nothing,Bloodsimple
3235,TRDKNAB128E0791840,C.I.A. (Criminals In Action),Zack De La Rocha
34524,TRPJSVD12903CF6720,Always,Saliva
15664,TROBHNE128F4293B41,I Know Them,Ektomorf
30146,TRDHHMB128F4268FC0,Little Mouth,Sleater-Kinney
44472,TRUXMSR128F4292E95,Born Like This,Three Days Grace
24761,TRBWJNQ128E0792518,Just Got Wicked,COLD
30976,TRDPXKD128F1499EF3,Bound For The Floor,Local H
16819,TRMJNKG128F92EF5C5,Tides,First Blood
13897,TRXAUPP12903CA7E32,Code of the Road,Danko Jones
7084,TRCTDVW128F148C86D,Under The Influence,Eminem
37798,TRZREDL128F428715D,We Americans,The Briefs
20894,TRYSIJX128F4256754,American Waste,Black Flag
1690,TRRXPJL12903CE0449,Who Is Who,Adolescents
3784,TRPLPBY128F932A7BD,Alles,Proceed
67,TRCMRVV128F425A36B,Everything Turns Grey,Agent Orange
5436,TRCJMKL128F428C8BE,Song of the Highwire Shrimper,Tim Hecker
37725,TRZMONN128F92FC6FC,Run for Your Life,The Beatles
8147,TRJAAFV128F426C35F,Breakin' Dishes,Rihanna
42550,TRKWAFP128F4265C04,Wieczny problem,Chylińska
5432,TRCJMNR128F4263CC7,Fire Spirit,16 Horsepower
27389,TRSACOA128F9310DB0,Boy About Town,The Jam
41250,TRTZDIG128F421A483,Kopfschuss,Wizo
19089,TRRYQGY128F147C1DC,Our Lady of Sorrows,My Chemical Romance
8826,TRJWJXR128F42415EB,Irresponsible Hate Anthem,Marilyn Manson
656,TRIFQUN128F4239816,Spiritual Impulse,Nightrage
36256,TRWOGHM128F42AE3B8,Admit It!!!,Say Anything
8092,TRJYWTP12903D08152,Scrap,L7
18106,TRMGICM128F93465AF,District,Sick Of It All
41670,TRKJEPW128E078FB48,Stress,Godsmack
28024,TRSGBIS128F9315436,Whitey On The Moon,Gil Scott-Heron
36889,TRWLYMB128F9327072,Suck My Left One,Bikini Kill
10487,TRIEODA128F4274EE0,World Long Gone,Scars On Broadway
14260,TRXEHEE128F427549A,Masakra,Republika
45724,TRVHHRW128F934B7E1,The Divine Falsehood,Job For A Cowboy
10173,TRIBLJO128F932B6E9,Stockholm Syndrome,Muse
46061,TRVAZYW128F148BFDB,7 Minutes,Noir Désir
3194,TRDPYDR12903CB73A3,Vices,Brand New
28205,TRSQNPF128F9353CC3,The Horse You Ride,Department of Eagles
43807,TRQPJAC128F9320B6C,Never Enough,Five Finger Death Punch
10132,TRIBIUA128F92C2E76,Got The Life,Korn
3026,TRFWUBZ128F934AB2C,The Antichrist,Slayer
34194,TRLTDDH128E07929AE,Softer, Softest,Hole
29986,TRDCZHM128F93480B1,Dead Ringer,Rise Against
2780,TRSFCXR128F42344A9,Dance Of The Manatee,Fair To Midland
5445,TRCJYPB128E0792083,Dead Set,Sevendust
19273,TRRNTML128F4290FF4,I Am Ahab,Mastodon
15009,TROCHHB128F14A664A,Boiled Frogs,Alexisonfire
29695,TRFKJKQ128F42521A8,Battle Ready,Otep
23909,TRBONVD128F92CFF87,Undead,Hollywood Undead
34908,TRPRTDW128F428B9B1,Shame Shame,From First To Last
24109,TRBYEQZ128F14AE744,Fire To My Soul,Demon Hunter
42149,TRKBXDE128F428BCE2,Out Here All Night,Damone
5236,TRVSJHO128F424C7FE,Tax Rebates and Common Sense,Lewis Black
35580,TRPZSJL12903D01B14,Enemies Of Reality,Nevermore
45562,TRUVZST128F147CC6A,2 X 4,Metallica
1936,TRYYYCH128F149840B,If You C Jordan,Something Corporate
20328,TRYITKT128F92E7E7D,Spent,Wire
37073,TRWZTKT128F147348E,Revolution Calling,Queensrÿche
37736,TRZMBMJ128F4299D81,Rumors Of War,High On Fire
282,TRCVFNM128F4257D88,Top 3 Selected,Ghetto
4789,TRQOWPV12903CC5054,Declare Your War,Throwdown
28380,TRFCXJR128F933A55F,Feeble Screams From Forests Unknown,Burzum
37508,TRZJUAI12903CEA808,Generation Z,Tara MacLean
43103,TRQHIQC128F932D6AC,Spleen,Staind
42534,TRKWJHQ128F92EBD98,Freight Train to Nowhere,Vigilantes of Love
37410,TRWVUWL128F428BB9B,No Heroes,Converge
